503313685,LogicSource Ad Account,662786893,2023-Website Visits Campaign,229558093,HC - Website Visit Campaign,279670273,Paused,Single image ad,HC-Brand.A_V2.1,Addressing inefficiencies across non-clinical spending can yield savings of 15%+ for health systems. Get started today.,Non-Clinical Spend: Seize the Opportunity to Optimize,Unnamed: 12,Unnamed: 13,https://logicsource.com/tylp/non-clinical-spend-optimization-the-solution-to-healthcare-system-margin-pressure_ad/?utm_source=linkedin&utm_medium=paid&utm_campaign=2023-08-28_EB1&utm_content=HC-Brand.A_V2.1
503313685,LogicSource Ad Account,667767383,"Boost_Post_Engagement_Oct 18, 2023",278870043,"Boost_Post_Website Visits_Oct 18, 2023, 06:39:06",295940673,Active,Single image ad,,"Non-clinical expenditures play an essential role in ensuring smooth hospital operations and can equate to as much as 25% of net patient revenue. Despite this, some health systems treat it as a sunk cost or assume that their GPO is providing the best possible pricing.

However, there’s a smarter way for organizations to unlock significant cost savings, extend budgets, and ultimately improve patient access and outcomes. It starts by reviewing their non-clinical procurement approach. Find out how in our guide.

#Healthcare #IndirectProcurement #Hospital #nonclinical #purchasedservices",,,,
503313685,LogicSource Ad Account,668906603,2023 - Lead Generation Campaign,282541533,HC-LGF Campaign,350118593,Active,Single image ad,HC-LGF_V2.2,"How CFOs can optimize expenses, improve operating margins, and deliver a healthier bottom line.",Take These Four Actionable Steps for Deep Healthcare Cost Savings,,,https://logicsource.com/tylp/motivating-healthcare-leaders-to-address-non-clinical-costs/
503313685,LogicSource Ad Account,662786893,2023-Website Visits Campaign,229558093,HC - Website Visit Campaign,294625283,Active,Single image ad,HC-LGFRetarget_IMG1.1,Ease margin pressure without running yet another clinical cost-cutting exercise or permanent headcount reduction. Here’s how.,,,,
503313685,LogicSource Ad Account,632464253,Healthcare,222285703,Beckers Closings - March 2023,235932803,Paused,Single image ad,,"As the demand for healthcare services grows, healthcare spending remains in critical condition. Last week, Becker's Healthcare reported on ten hospital closures and service reductions impacting the delivery of care in both large multi-facility health systems to smaller, community-based hospitals to home-based health service providers. Across the board, healthcare organizations are having to make hard decisions to help solve for the pressure on their bottom line. 
 
Creatively addressing and optimizing non-clinical/indirect spend – or expenses towards organizational needs not directly related to the cost of care delivery – is one path to help organizations like these fund critical services for their communities, including surgery, maternity, and home health. 

#indirectspend #indirectprocurement #nonclinical #costofcare #healthcarefinance #communityhealth #ruralhealth #purchasing #procurement",13 hospitals closing departments or ending services,"Here are 10 healthcare organizations have recently closed medical departments or ended services at facilities to shore up finances, focus on more in-demand services or address staffing shortages.",,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services.html?origin=CFOE&utm_source=CFOE&utm_medium=email&utm_content=newsletter&oly_enc_id=9474E6187545F5N
503313685,LogicSource Ad Account,603401983,Default Campaign Group,151667503,"Website visits - May 21, 2019",84530723,Active,Single image ad,,"Important ideas get lost in translation when moving from the concept stage to real-world execution. LogicSource believes the best way to align buyer and supplier interests is to embrace the counter-intuitive truths of supply chain management. 

#sourcing #procurement #collaboration #transparency",Aligning the Interests of Buyers and Suppliers | LogicSource - Sourcing and Procurement Solutions | Our Clients Buy Better,THE COUNTERINTUITIVE TRUTHS OF SUPPLY CHAIN MANAGEMENT Important ideas get lost in translation when moving from concept stage to real-world execution. LogicSource believes the best way to align buyer and supplier interests is to embrace the...,,http://logicsource.com/ideas/aligning-interests-buyers-suppliers/
503313685,LogicSource Ad Account,666259013,"Boost_Post_Website Visits_Sep 18, 2023",276759783,"Boost_Post_Website Visits_Sep 18, 2023, 09:42:13",286227043,Active,Single image ad,,"As financial challenges continue to pressure health systems nationwide and impact access to care, we are committed to being part of the solution. 

Introducing the three executive leaders forming our emerging healthcare division dedicated to supporting health systems with non-clinical procurement Mark Van Sumeren, General Manager of Healthcare; David Kirshner, Managing Partner of Healthcare; and Susan Tyler, Managing Director of Healthcare. Together, they share over eighty years of experience in healthcare strategy, financial management, operations, and supply chain. 

“Our healthcare leadership team is uniquely equipped to help partner with health system CFOs and executive leadership to uncover savings in non-clinical spend categories that can help retain high-impact clinical services and free up resources to invest in new initiatives that enable better patient access and outcomes,” shared David F. Pennino, CEO of LogicSource. 

We are excited about this big step ahead as we look to address some of the most pressing and urgent issues around non-clinical procurement and margin improvement in healthcare. 

#sourcing #procurement #supplychain #healthcare #healthsystems #healthandwellness #health #nonclinical #leadership #hospitals #hospitalsupplychain",LogicSource Announces Emerging Healthcare Leadership Team,"LogicSource announces three executive leaders who are leading their emerging healthcare division. Learn more about how Mark Van Sumeren, David Kirshner, and Susan Tyler are prepared to drive growth and deliver exceptional results.",,https://logicsource.com/logicsource-announces-emerging-healthcare-leadership-team/?utm_source=linkedin&utm_medium=social&utm_campaign=2023-08-29_BP&utm_content=LSI-HI_BP
503313685,LogicSource Ad Account,676456093,2023 - Engagement Campaigns,282304433,MI - CFO Targeting - Engagement,327697283,Active,Single image ad,MI-CFOEG_IMG2.2,What steps can you take to unlock savings and position yourself for future growth? Maybe it’s time to look at indirect spend.,Fuel Growth and Investment with Indirect Procurement,,Download,https://logicsource.com/lp/addressing-indirect-spend-to-maximize-sales-revenue-and-impact/?utm_source=linkedin&utm_medium=paid&utm_campaign=2023-11-22_EB1&utm_content=MI-CFO-IMG2
503313685,LogicSource Ad Account,668906603,2023 - Lead Generation Campaign,287572143,MI - Retargeting - LGF,361336933,Active,Single image ad,MI-MVA-Retargeting-V3.0,Tired of expensive consultant recommendations for cost cutting with no execution capabilities? We do things differently.,LogicSource's Mutual Value Assessment: We Invest in You,,,https://logicsource.com/lp/what-is-logicsources-mutual-value-assessment/?utm_source=linkedin&utm_medium=paid&utm_campaign=2024-02-12_WC&utm_content=MI-MVA-Retargeting-V3.0
503313685,LogicSource Ad Account,603401983,Default Campaign Group,217390443,ICR Announcement,224366693,Active,Single image ad,,"LogicSource, Inc. is proud to announce its partnership with ICR, joining its roster of sponsors for the firm’s 25th annual conference.  

One of the largest growth company conferences in the country, LogicSource was eager to seize this opportunity to connect directly with the companies we are most well-positioned to serve. Running January 9th through January 11th, the three-day event features more than 2,500 attendees and 250+ management teams, institutional investors, and countless other key stakeholders coming together in Orlando for critical discussions on navigating the most perilous business environment in recent memory. 

On Tuesday, January 10th, guests can join LogicSource and our group of expert panelists in a spirited discussion on innovative ways to carve out cost savings and profit improvement without putting future growth at risk.

For those attending, please reach out to LogicSource Managing Partner, Dan Dollins to set up some time to connect - we hope to see you there!

#sourcing #procurement #supplychain #growth #event
",LogicSource to Partner with ICR as a Sponsor for their 25th Annual Conference | LogicSource,"LogicSource is honored to partner with ICR as a sponsor of the 25th annual ICR Conference, one of the largest growth company investment conferences of the year. For the last two and a half decades, the ICR Conference has brought together more than...",,https://logicsource.com/logicsource-to-sponsor-25th-annual-icr-conference/
